Title,Role,Category,Element Name,Skill Type,Data Value
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Quality Control Analysis,Technical,3.0
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Judgment and Decision Making,Soft / Non-Technical,3.38
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Systems Analysis,Technical,3.38
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Systems Evaluation,Technical,3.0
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Time Management,Soft / Non-Technical,3.12
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Management of Financial Resources,Soft / Non-Technical,1.75
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Management of Material Resources,Soft / Non-Technical,1.75
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Management of Personnel Resources,Soft / Non-Technical,2.88
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Reading Comprehension,Soft / Non-Technical,3.75
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Active Listening,Soft / Non-Technical,3.75
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Writing,Soft / Non-Technical,3.38
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Speaking,Soft / Non-Technical,3.5
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Mathematics,Technical,3.38
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Science,Technical,3.12
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Critical Thinking,Soft / Non-Technical,4.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Active Learning,Soft / Non-Technical,3.5
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Learning Strategies,Soft / Non-Technical,3.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Monitoring,Soft / Non-Technical,3.12
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,3.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Coordination,Soft / Non-Technical,3.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Persuasion,Soft / Non-Technical,2.75
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Negotiation,Soft / Non-Technical,2.5
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Instructing,Soft / Non-Technical,3.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Service Orientation,Soft / Non-Technical,2.75
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,4.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Operations Analysis,Technical,3.12
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Technology Design,Technical,3.12
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Equipment Selection,Technical,1.88
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Installation,Technical,1.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Programming,Technical,3.62
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Operations Monitoring,Technical,2.62
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Operation and Control,Technical,2.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Equipment Maintenance,Technical,1.12
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Troubleshooting,Technical,2.38
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Repairing,Technical,1.12
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Quality Control Analysis,Technical,2.38
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Judgment and Decision Making,Soft / Non-Technical,4.0
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Systems Analysis,Technical,3.75
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Systems Evaluation,Technical,3.62
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Time Management,Soft / Non-Technical,3.38
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Management of Financial Resources,Soft / Non-Technical,2.5
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Management of Material Resources,Soft / Non-Technical,2.25
Computer and Information Research Scientists,AI/ML Engineer,AI-Complementary,Management of Personnel Resources,Soft / Non-Technical,2.88
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Reading Comprehension,Soft / Non-Technical,3.38
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Active Listening,Soft / Non-Technical,3.5
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Writing,Soft / Non-Technical,3.0
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Speaking,Soft / Non-Technical,3.25
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Mathematics,Technical,2.12
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Science,Technical,1.88
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Critical Thinking,Soft / Non-Technical,3.75
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Active Learning,Soft / Non-Technical,3.25
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Learning Strategies,Soft / Non-Technical,2.62
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Monitoring,Soft / Non-Technical,3.25
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,2.88
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Coordination,Soft / Non-Technical,2.75
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Persuasion,Soft / Non-Technical,2.25
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Negotiation,Soft / Non-Technical,2.25
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Instructing,Soft / Non-Technical,2.62
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Service Orientation,Soft / Non-Technical,2.5
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,3.25
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Operations Analysis,Technical,1.88
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Technology Design,Technical,2.12
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Equipment Selection,Technical,2.5
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Installation,Technical,2.75
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Programming,Technical,2.25
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Operations Monitoring,Technical,3.0
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Operation and Control,Technical,2.0
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Equipment Maintenance,Technical,2.62
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Troubleshooting,Technical,3.12
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Repairing,Technical,2.88
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Quality Control Analysis,Technical,2.88
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Judgment and Decision Making,Soft / Non-Technical,3.38
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Systems Analysis,Technical,3.12
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Systems Evaluation,Technical,3.0
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Time Management,Soft / Non-Technical,3.0
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Management of Financial Resources,Soft / Non-Technical,1.5
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Management of Material Resources,Soft / Non-Technical,2.0
Computer Network Support Specialists,Cloud Computing Specialist,AI-Complementary,Management of Personnel Resources,Soft / Non-Technical,2.25
Computer Network Architects,DevOps Engineer,AI-Complementary,Reading Comprehension,Soft / Non-Technical,4.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Active Listening,Soft / Non-Technical,3.75
Computer Network Architects,DevOps Engineer,AI-Complementary,Writing,Soft / Non-Technical,3.62
Computer Network Architects,DevOps Engineer,AI-Complementary,Speaking,Soft / Non-Technical,3.5
Computer Network Architects,DevOps Engineer,AI-Complementary,Mathematics,Technical,3.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Science,Technical,2.12
Computer Network Architects,DevOps Engineer,AI-Complementary,Critical Thinking,Soft / Non-Technical,4.12
Computer Network Architects,DevOps Engineer,AI-Complementary,Active Learning,Soft / Non-Technical,3.25
Computer Network Architects,DevOps Engineer,AI-Complementary,Learning Strategies,Soft / Non-Technical,3.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Monitoring,Soft / Non-Technical,3.12
Computer Network Architects,DevOps Engineer,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,3.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Coordination,Soft / Non-Technical,3.5
Computer Network Architects,DevOps Engineer,AI-Complementary,Persuasion,Soft / Non-Technical,3.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Negotiation,Soft / Non-Technical,3.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Instructing,Soft / Non-Technical,3.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Service Orientation,Soft / Non-Technical,3.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,3.88
Computer Network Architects,DevOps Engineer,AI-Complementary,Operations Analysis,Technical,2.88
Computer Network Architects,DevOps Engineer,AI-Complementary,Technology Design,Technical,3.12
Computer Network Architects,DevOps Engineer,AI-Complementary,Equipment Selection,Technical,2.62
Computer Network Architects,DevOps Engineer,AI-Complementary,Installation,Technical,1.75
Computer Network Architects,DevOps Engineer,AI-Complementary,Programming,Technical,3.88
Computer Network Architects,DevOps Engineer,AI-Complementary,Operations Monitoring,Technical,3.0
Computer Network Architects,DevOps Engineer,AI-Complementary,Operation and Control,Technical,2.62
Computer Network Architects,DevOps Engineer,AI-Complementary,Equipment Maintenance,Technical,2.25
Computer Network Architects,DevOps Engineer,AI-Complementary,Troubleshooting,Technical,2.88
Computer Network Architects,DevOps Engineer,AI-Complementary,Repairing,Technical,2.12
Computer Network Architects,DevOps Engineer,AI-Complementary,Quality Control Analysis,Technical,3.25
Computer Network Architects,DevOps Engineer,AI-Complementary,Judgment and Decision Making,Soft / Non-Technical,3.75
Computer Network Architects,DevOps Engineer,AI-Complementary,Systems Analysis,Technical,3.75
Computer Network Architects,DevOps Engineer,AI-Complementary,Systems Evaluation,Technical,3.88
Computer Network Architects,DevOps Engineer,AI-Complementary,Time Management,Soft / Non-Technical,3.12
Computer Network Architects,DevOps Engineer,AI-Complementary,Management of Financial Resources,Soft / Non-Technical,2.5
Computer Network Architects,DevOps Engineer,AI-Complementary,Management of Material Resources,Soft / Non-Technical,2.38
Computer Network Architects,DevOps Engineer,AI-Complementary,Management of Personnel Resources,Soft / Non-Technical,2.75
Database Administrators,Data Engineer,AI-Complementary,Reading Comprehension,Soft / Non-Technical,3.75
Database Administrators,Data Engineer,AI-Complementary,Active Listening,Soft / Non-Technical,3.75
Database Administrators,Data Engineer,AI-Complementary,Writing,Soft / Non-Technical,3.25
Database Administrators,Data Engineer,AI-Complementary,Speaking,Soft / Non-Technical,3.38
Database Administrators,Data Engineer,AI-Complementary,Mathematics,Technical,3.0
Database Administrators,Data Engineer,AI-Complementary,Science,Technical,2.0
Database Administrators,Data Engineer,AI-Complementary,Critical Thinking,Soft / Non-Technical,3.88
Database Administrators,Data Engineer,AI-Complementary,Active Learning,Soft / Non-Technical,3.5
Database Administrators,Data Engineer,AI-Complementary,Learning Strategies,Soft / Non-Technical,3.0
Database Administrators,Data Engineer,AI-Complementary,Monitoring,Soft / Non-Technical,3.25
Database Administrators,Data Engineer,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,2.88
Database Administrators,Data Engineer,AI-Complementary,Coordination,Soft / Non-Technical,3.0
Database Administrators,Data Engineer,AI-Complementary,Persuasion,Soft / Non-Technical,2.62
Database Administrators,Data Engineer,AI-Complementary,Negotiation,Soft / Non-Technical,2.0
Database Administrators,Data Engineer,AI-Complementary,Instructing,Soft / Non-Technical,3.0
Database Administrators,Data Engineer,AI-Complementary,Service Orientation,Soft / Non-Technical,2.88
Database Administrators,Data Engineer,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,3.88
Database Administrators,Data Engineer,AI-Complementary,Operations Analysis,Technical,3.12
Database Administrators,Data Engineer,AI-Complementary,Technology Design,Technical,2.38
Database Administrators,Data Engineer,AI-Complementary,Equipment Selection,Technical,1.5
Database Administrators,Data Engineer,AI-Complementary,Installation,Technical,1.38
Database Administrators,Data Engineer,AI-Complementary,Programming,Technical,3.38
Database Administrators,Data Engineer,AI-Complementary,Operations Monitoring,Technical,2.75
Database Administrators,Data Engineer,AI-Complementary,Operation and Control,Technical,1.5
Database Administrators,Data Engineer,AI-Complementary,Equipment Maintenance,Technical,1.0
Database Administrators,Data Engineer,AI-Complementary,Troubleshooting,Technical,2.5
Database Administrators,Data Engineer,AI-Complementary,Repairing,Technical,1.12
Database Administrators,Data Engineer,AI-Complementary,Quality Control Analysis,Technical,2.5
Database Administrators,Data Engineer,AI-Complementary,Judgment and Decision Making,Soft / Non-Technical,3.75
Database Administrators,Data Engineer,AI-Complementary,Systems Analysis,Technical,3.12
Database Administrators,Data Engineer,AI-Complementary,Systems Evaluation,Technical,3.12
Database Administrators,Data Engineer,AI-Complementary,Time Management,Soft / Non-Technical,2.88
Database Administrators,Data Engineer,AI-Complementary,Management of Financial Resources,Soft / Non-Technical,1.75
Database Administrators,Data Engineer,AI-Complementary,Management of Material Resources,Soft / Non-Technical,1.88
Database Administrators,Data Engineer,AI-Complementary,Management of Personnel Resources,Soft / Non-Technical,2.75
Database Architects,Data Engineer,AI-Complementary,Reading Comprehension,Soft / Non-Technical,3.88
Database Architects,Data Engineer,AI-Complementary,Active Listening,Soft / Non-Technical,3.5
Database Architects,Data Engineer,AI-Complementary,Writing,Soft / Non-Technical,3.12
Database Architects,Data Engineer,AI-Complementary,Speaking,Soft / Non-Technical,3.5
Database Architects,Data Engineer,AI-Complementary,Mathematics,Technical,3.0
Database Architects,Data Engineer,AI-Complementary,Science,Technical,1.88
Database Architects,Data Engineer,AI-Complementary,Critical Thinking,Soft / Non-Technical,3.88
Database Architects,Data Engineer,AI-Complementary,Active Learning,Soft / Non-Technical,3.25
Database Architects,Data Engineer,AI-Complementary,Learning Strategies,Soft / Non-Technical,2.88
Database Architects,Data Engineer,AI-Complementary,Monitoring,Soft / Non-Technical,3.12
Database Architects,Data Engineer,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,3.0
Database Architects,Data Engineer,AI-Complementary,Coordination,Soft / Non-Technical,3.0
Database Architects,Data Engineer,AI-Complementary,Persuasion,Soft / Non-Technical,2.88
Database Architects,Data Engineer,AI-Complementary,Negotiation,Soft / Non-Technical,2.62
Database Architects,Data Engineer,AI-Complementary,Instructing,Soft / Non-Technical,2.88
Database Architects,Data Engineer,AI-Complementary,Service Orientation,Soft / Non-Technical,3.0
Database Architects,Data Engineer,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,3.88
Database Architects,Data Engineer,AI-Complementary,Operations Analysis,Technical,3.12
Database Architects,Data Engineer,AI-Complementary,Technology Design,Technical,3.0
Database Architects,Data Engineer,AI-Complementary,Equipment Selection,Technical,1.62
Database Architects,Data Engineer,AI-Complementary,Installation,Technical,1.62
Database Architects,Data Engineer,AI-Complementary,Programming,Technical,3.38
Database Architects,Data Engineer,AI-Complementary,Operations Monitoring,Technical,2.12
Database Architects,Data Engineer,AI-Complementary,Operation and Control,Technical,1.75
Database Architects,Data Engineer,AI-Complementary,Equipment Maintenance,Technical,1.12
Database Architects,Data Engineer,AI-Complementary,Troubleshooting,Technical,1.88
Database Architects,Data Engineer,AI-Complementary,Repairing,Technical,1.12
Database Architects,Data Engineer,AI-Complementary,Quality Control Analysis,Technical,2.0
Database Architects,Data Engineer,AI-Complementary,Judgment and Decision Making,Soft / Non-Technical,3.88
Database Architects,Data Engineer,AI-Complementary,Systems Analysis,Technical,3.75
Database Architects,Data Engineer,AI-Complementary,Systems Evaluation,Technical,3.25
Database Architects,Data Engineer,AI-Complementary,Time Management,Soft / Non-Technical,3.0
Database Architects,Data Engineer,AI-Complementary,Management of Financial Resources,Soft / Non-Technical,2.0
Database Architects,Data Engineer,AI-Complementary,Management of Material Resources,Soft / Non-Technical,2.0
Database Architects,Data Engineer,AI-Complementary,Management of Personnel Resources,Soft / Non-Technical,2.5
Data Warehousing Specialists,Data Engineer,AI-Complementary,Reading Comprehension,Soft / Non-Technical,3.88
Data Warehousing Specialists,Data Engineer,AI-Complementary,Active Listening,Soft / Non-Technical,3.5
Data Warehousing Specialists,Data Engineer,AI-Complementary,Writing,Soft / Non-Technical,3.25
Data Warehousing Specialists,Data Engineer,AI-Complementary,Speaking,Soft / Non-Technical,3.38
Data Warehousing Specialists,Data Engineer,AI-Complementary,Mathematics,Technical,3.0
Data Warehousing Specialists,Data Engineer,AI-Complementary,Science,Technical,1.88
Data Warehousing Specialists,Data Engineer,AI-Complementary,Critical Thinking,Soft / Non-Technical,3.88
Data Warehousing Specialists,Data Engineer,AI-Complementary,Active Learning,Soft / Non-Technical,3.0
Data Warehousing Specialists,Data Engineer,AI-Complementary,Learning Strategies,Soft / Non-Technical,2.62
Data Warehousing Specialists,Data Engineer,AI-Complementary,Monitoring,Soft / Non-Technical,2.88
Data Warehousing Specialists,Data Engineer,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,3.0
Data Warehousing Specialists,Data Engineer,AI-Complementary,Coordination,Soft / Non-Technical,3.12
Data Warehousing Specialists,Data Engineer,AI-Complementary,Persuasion,Soft / Non-Technical,2.75
Data Warehousing Specialists,Data Engineer,AI-Complementary,Negotiation,Soft / Non-Technical,2.62
Data Warehousing Specialists,Data Engineer,AI-Complementary,Instructing,Soft / Non-Technical,2.62
Data Warehousing Specialists,Data Engineer,AI-Complementary,Service Orientation,Soft / Non-Technical,2.62
Data Warehousing Specialists,Data Engineer,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,3.62
Data Warehousing Specialists,Data Engineer,AI-Complementary,Operations Analysis,Technical,2.75
Data Warehousing Specialists,Data Engineer,AI-Complementary,Technology Design,Technical,2.62
Data Warehousing Specialists,Data Engineer,AI-Complementary,Equipment Selection,Technical,1.5
Data Warehousing Specialists,Data Engineer,AI-Complementary,Installation,Technical,1.0
Data Warehousing Specialists,Data Engineer,AI-Complementary,Programming,Technical,3.75
Data Warehousing Specialists,Data Engineer,AI-Complementary,Operations Monitoring,Technical,2.5
Data Warehousing Specialists,Data Engineer,AI-Complementary,Operation and Control,Technical,1.88
Data Warehousing Specialists,Data Engineer,AI-Complementary,Equipment Maintenance,Technical,1.12
Data Warehousing Specialists,Data Engineer,AI-Complementary,Troubleshooting,Technical,1.62
Data Warehousing Specialists,Data Engineer,AI-Complementary,Repairing,Technical,1.12
Data Warehousing Specialists,Data Engineer,AI-Complementary,Quality Control Analysis,Technical,2.38
Data Warehousing Specialists,Data Engineer,AI-Complementary,Judgment and Decision Making,Soft / Non-Technical,3.38
Data Warehousing Specialists,Data Engineer,AI-Complementary,Systems Analysis,Technical,3.5
Data Warehousing Specialists,Data Engineer,AI-Complementary,Systems Evaluation,Technical,3.25
Data Warehousing Specialists,Data Engineer,AI-Complementary,Time Management,Soft / Non-Technical,2.88
Data Warehousing Specialists,Data Engineer,AI-Complementary,Management of Financial Resources,Soft / Non-Technical,1.75
Data Warehousing Specialists,Data Engineer,AI-Complementary,Management of Material Resources,Soft / Non-Technical,1.88
Data Warehousing Specialists,Data Engineer,AI-Complementary,Management of Personnel Resources,Soft / Non-Technical,2.12
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Reading Comprehension,Soft / Non-Technical,3.88
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Active Listening,Soft / Non-Technical,3.75
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Writing,Soft / Non-Technical,3.12
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Speaking,Soft / Non-Technical,3.38
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Mathematics,Technical,3.0
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Science,Technical,2.25
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Critical Thinking,Soft / Non-Technical,3.88
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Active Learning,Soft / Non-Technical,3.12
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Learning Strategies,Soft / Non-Technical,2.75
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Monitoring,Soft / Non-Technical,3.75
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,3.0
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Coordination,Soft / Non-Technical,3.0
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Persuasion,Soft / Non-Technical,2.75
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Negotiation,Soft / Non-Technical,2.5
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Instructing,Soft / Non-Technical,2.88
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Service Orientation,Soft / Non-Technical,3.0
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,3.75
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Operations Analysis,Technical,3.12
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Technology Design,Technical,2.75
Network and Computer Systems Administrators,Cloud Computing Specialist,AI-Complementary,Equipment Selection,Technical,2.88
