source,extraction_timestamp,title,addressLocality,addressRegion,description,datePosted,offer_number,employmentType,collective,occupationalCategory,workday,age,employmentSituation,driverLicense,educationRequirements,experienceRequirements,contactinformation,numberPositions,participants
1,2024-04-14 10:34:56,LCIENCIADO / GRADO EN MEDICINA GENERAL,Bilbao,Bizkaia,Se necesita licenciado o grado en Medicina General para la realización de certificados médicos y psicotécnico,12/04/2024,162024004035,LABORAL INDEFINIDO,,"MÉDICOS, MEDICINA GENERAL",,,,,"NIVELES FORMATIVOS REQUERIDOS Desde Enseñanzas universitarias de primer y segundo ciclo, de sólo segundo ciclo, y equivalentes (licenciados) Hasta Doctorado universitario",,,1,0
1,2024-04-14 10:34:56,CANTERO/CANTERA,Ea,Bizkaia,"Tareas: tallar y labrar piedras y colocarlas en edificios antiguos a rehabilitar. IMPRESCINDIBLE: manejo de herramientas manuales para labrar y tallar piedras, tales como, bujarda, maza, gradina, cincel... VALORABLE: carnet de conducir y disponibilidad para trabajar fines de semana. CONTRATO: indefinido. Jornada: de 08:00 a 15:00 horas.",12/04/2024,162024004034,LABORAL INDEFINIDO,,CANTEROS DE CONSTRUCCIÓN,,,,,,,,1,6
1,2024-04-14 10:34:56,"ASISTENTE DOMICILIARIO, RÉGIMEN INTERNO.",Tolosa,Gipuzkoa,Cuidado y atención de un matrimonio de ancianos y realización de tareas domésticas. REQUISITOS IMPRESCINDIBLES: certificado profesional de atención sociosanitaria o habilitación. TIPO DE CONTRATO: Indefinido. SALARIO: 1.600 euros brutos.,12/04/2024,162024004032,LABORAL INDEFINIDO,,ASISTENTES DOMICILIARIOS,,,,,,,,1,10
1,2024-04-14 10:34:56,PROFESOR/PROFESORA DE EUSKALTEGI,Erandio,Bizkaia,"IMPRESCINDIBLE: estudios universitarios y C2 de euskera. A VALORAR: Filologia Vasca (10 puntos), Magisterio Educación primaria (6 puntos), Master del Profesorado (8 puntos), experiencia como profesor/a en Euskaltegi (0,5 puntos/mes), experiencia docente (0,25 puntos/mes). SE OFRECE: contrato laboral de 2 meses, aproximadamente. HORARIO: 9:00 -13:00 y de 16:00 19:00 h, de lunes a jueves y de 8:00 14:00, los viernes. INCORPORACIÓN: 16 abril. SALARIO: 41557,79 euros brutos/año.",12/04/2024,162024004031,LABORAL INDEFINIDO,,PROFESORES DEL ÁREA DE LENGUAS EXTRANJERAS (ENSEÑANZA SECUNDARIA),,,,,NIVELES FORMATIVOS REQUERIDOS Desde Enseñanzas universitarias de primer ciclo y equivalentes o personas que han aprobado 3 cursos completos de una licenciatura o créditos equivalentes (diplomaturas) Hasta Doctorado universitario,,,1,3
1,2024-04-14 10:34:56,AUXILIAR FLORISTA/DEPENDIENTE-A,Donostia/San Sebastián,Gipuzkoa,"Se necesita dependiente/a para floristería en San Sebastián. SE REQUIERE: Euskera e informática a nivel usuario. SE VALORARÁ: Experiencia en comercio y en creación de ramos, centros, coronas y más arte floral. SE OFRECE: Contrato indefinido, jornada a convenir, salario bruto según convenio.",12/04/2024,162024004029,LABORAL INDEFINIDO,,DEPENDIENTES DE FLORISTERÍA,,,,,Experiencia mínima: 2 meses,2 meses,,1,13
1,2024-04-14 10:34:56,CHOFER,Donostia/San Sebastián,Gipuzkoa,Chofer para camión rígido paquetería. REQUISITO IMPRESCINDIBLE: carnet de conducir C (transporte mercancías pesado). A VALORAR: experiencia en el sector. SE OFRECE: contrato laboral indefinido previa prueba. Horario laboral: de 08:00 a 13:00 horas y de 15:00 a 18:30 horas aproximadamente. Remuneración según convenio.,12/04/2024,162024004028,LABORAL INDEFINIDO,,"CONDUCTORES DE CAMIÓN, EN GENERAL",,,,"C - AUTOMÓVIL MASA MÁXIMA AUTORIZADA > 3.500 KG, ASIENTOS <=9",Experiencia mínima: 1 año,1 año,,1,6
1,2024-04-14 10:34:56,DINAMIZADOR DE GAZTEGUNE,Alonsotegi,Bizkaia,"Se precisa contratar a una persona para el puesto de dinamizador de Gaztegune (local juvenil) en un municipio de las Encartaciones. Requisitos imprescindibles_Formación universitaria en Educación Social o formación profesional en Integración Social, título EGA o equivalente, título de monitor/a de tiempo libre y 3 meses de experiencia como monitor/a en trabajos similares con menores. Se ofrece contrato inicial de 1 año prorrogable, a tiempo parcial (viernes, sábados y domingos de 18h a 22h), salario 950 euros brutos mensuales, incorporación prevista 31/05/2024",12/04/2024,162024004026,LABORAL TEMPORAL,,ANIMADORES SOCIOCULTURALES,,,,,Experiencia mínima: 3 meses,3 meses,,1,5
1,2024-04-14 10:34:56,PERSONAL DE LIMPIEZA,Ea,Bizkaia,Limpieza de apartamentos en casa rural. IMPRESCINDIBLE: carnet de conducir y disponibilidad de coche. Experiencia de al menos 12 meses. CONTRATO: temporal de 12 meses. Media jornada de 12:00 a 16:00 horas. Incorporación inmediata.,12/04/2024,162024004025,LABORAL TEMPORAL,,PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL,,,,"B-AUTOMOVIL <= 3.500 KG, ASIENTOS <=9, CON REMOLQUE <= 750 KG, Y TRICICLOS Y CUATRICICLOS DE MOTOR",Experiencia mínima: 1 año,1 año,,1,11
1,2024-04-14 10:34:56,AYUDANTE DE PEÓN DE LA CONSTRUCCIÓN,Amurrio,Araba/Álava,"Ayudante de peón en construcción. Imprescindible PRL de 20 horas de construcción. Se ofrece contrato de 2 meses a jornada completa, de 08:00 a 13:00 y de 14:00 a 17:00. Incorporación en mayo.",12/04/2024,162024004024,LABORAL TEMPORAL,,PEONES DE LA CONSTRUCCIÓN DE EDIFICIOS,,,,,Experiencia mínima: 3 meses,3 meses,,1,9
1,2024-04-14 10:34:56,PERSONAL DE LIMPIEZA DE OFICINAS,Arrasate/Mondragon,Gipuzkoa,"Limpieza de mobiliario, limpieza de aseos y vestuarios, área de descanso, barrido y fregado de suelos, limpieza de cristales.  REQUISITOS IMPRESNCINDIBLES:  Certificado de discapacidad mínima del 33%  TIPO DE JORNADA Y HORARIO: A determinar con la persona candidata  TIPO DE CONTRATO: Indefinido  Incorporación inmediata",12/04/2024,162024004022,LABORAL INDEFINIDO,Discapacitados/as,PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL,,,,,,,,1,6
1,2024-04-14 10:34:56,ELECTRICISTA,Sestao,Bizkaia,"Electricista para instalación de porteros automáticos, video porteros y electricidad en general. REQUISITOS IMPRESCINDIBLES :Experiencia de 12 meses, permiso de conducir B y formación en PRL. Se realizará prueba. Se ofrece contrato indefinido. Jornada partida.",12/04/2024,162024004021,LABORAL INDEFINIDO,,"INSTALADORES ELECTRICISTAS, EN GENERAL",,,,"B-AUTOMOVIL <= 3.500 KG, ASIENTOS <=9, CON REMOLQUE <= 750 KG, Y TRICICLOS Y CUATRICICLOS DE MOTOR",Experiencia mínima: 1 año,1 año,,1,2
1,2024-04-14 10:34:56,MONTADOR DE ESTRUCTURAS PORTATILES LIJERAS,Bilbao,Bizkaia,PARTICIPARA EN EL MONTAJE DE ESTRUCTURAS LIJERAS E INSTALACIONES DE ELECTRICIDAD. IMPRESCIDIBLE CERTIFICADO DE PROFESIONALIDAD NIVEL 1 OPERACIONES AUXILIARESDE MONTAJE Y MANTENIMIENTO DE EQUIPOS ELECTRICOS Y ELECTRONICOS Y PRL DE LA CONSTRUCCION 60 HORAS. IMPRESCINDIBLE PERSONA EN RIESGO DE EXCLUSION.,12/04/2024,162024004019,LABORAL TEMPORAL,,"MONTADORES DE GRANDES ESTRUCTURAS METÁLICAS, EN GENERAL",Duración: 12 meses,,DESEMPLEADO-A,,"Conocimientos FORMACIÓN REGLADA - CERTIFICADOS DE PROFESIONALIDAD Se debe estar en posesión de alguno de los siguientes títulos o certificados: Certificado profesionalidad ELEQ0111 - OPERACIONES AUXILIARES DE MONTAJE Y MANTENIMIENTO DE EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS Y, además, también se debe estar en posesión de alguno de los siguientes títulos o certificados: Programas sobre el entorno de trabajo, prevención de riesgos",,,1,9
1,2024-04-14 10:34:56,ELECTROMECÁNICO,Zizurkil,Gipuzkoa,"Instalaciones en Kanper/Autocaravanas:  Eléctricos, agua, gas, baterías...  Instalaciones necesarias para una camperización  Se valorará la mecánica rápida y la automoción REQUISITOS:  Experiencia en mecánica, eléctrica o carpintería.  Estudios medios o superiores VALORABLE: -Idiomas Se ofrece desarrollo profesional en la empresa.",12/04/2024,162024004018,LABORAL INDEFINIDO,,"MECÁNICOS DE MANTENIMIENTO Y REPARACIÓN DE AUTOMOCIÓN, EN GENERAL",,,,,"NIVELES FORMATIVOS REQUERIDOS Desde Enseñanzas de grado medio de formación profesional específica, artes plásticas y diseño, y deportivas. Hasta Enseñanzas de grado superior de formación profesional específica y equivalentes, artes plásticas y diseño, y deportivas.",,,1,4
1,2024-04-14 10:34:56,CARNICERO OFICIAL DE PRIMERA,Arrasate/Mondragon,Gipuzkoa,-Imprescindibles: .Experiencia como oficial de carnicería ( mínimo 36 meses ) .Nivel alto de español -Se valora euskera -Se ofrece: .Contrato indefinido .Jornada completa y partida .Salario según convenio .Incorporación inmediata,12/04/2024,162024004017,LABORAL INDEFINIDO,,CARNICEROS PARA LA VENTA EN COMERCIO,,,,,Experiencia mínima: 3 años,3 años,,1,1
1,2024-04-14 10:34:56,REPARTIDOR/A,Durango,Bizkaia,"Empresa dedicada al suministro de ropa de trabajo y EPIS precisa persona para reparto.  Funciones: reparto y recarga de máquinas de vending.  Requisitos: experiencia laboral de 12 meses en almacén y reparto.  Se ofrece contrato temporal de 12 meses de duración, jornada completa.",12/04/2024,162024004015,LABORAL TEMPORAL,,"MOZOS DE CARGA Y DESCARGA, ALMACÉN Y/O MERCADO DE ABASTOS",,,,,Experiencia mínima: 1 año,1 año,,1,20
1,2024-04-14 10:34:56,DEPENDIENTE/A,Bedia,Bizkaia,"Se necesita dependiente/a para tienda de productos y servicios de mascotas.  Imprescindible conocimientos básicos de informática.  Se valorará el dominio del euskera, el gusto por los animales y la proximidad de residencia.  Se ofrece contrato a media jornada para sustitución de baja.",12/04/2024,162024004013,LABORAL TEMPORAL,,"DEPENDIENTES DE COMERCIO, EN GENERAL",,,,,Experiencia mínima: 3 meses,3 meses,,1,14
1,2024-04-14 10:34:56,PERSONAL TÉCNICO CONTROL DE PLAGAS,Vitoria-Gasteiz,Araba/Álava,"Personal técnico en Control de Plagas (Nivel 2) para realizar tareas de tratamiento de interiores, vía pública y desinfecciones en Vitoria-Gasteiz. REQUISITOS IMPRESCINDIBLES: Certificado Profesionalidad Servicios para el control de plagas. Experiencia mínima de un año en puesto ofertado. Carnet de conducir B. SE VALORARÁ: Títulos formativos relacionados con el sector (Legionella, TP8, CMR). SE OFRECE: Entorno de trabajo amistoso y profesional, formación continua, buen horario laboral e incorporación inmediata. Resto de condiciones a tratar con las personas seleccionadas.",12/04/2024,162024004012,LABORAL TEMPORAL,,APLICADORES DE PLAGUICIDAS,,,,"B-AUTOMOVIL <= 3.500 KG, ASIENTOS <=9, CON REMOLQUE <= 750 KG, Y TRICICLOS Y CUATRICICLOS DE MOTOR",Experiencia mínima: 1 año,1 año,,2,0
1,2024-04-14 10:34:56,ELECTRICISTA,Mungia,Bizkaia,Peón en electricidad con experiencia en instalaciones eléctricas en viviendas.,12/04/2024,162024004011,LABORAL TEMPORAL,,"INSTALADORES ELECTRICISTAS, EN GENERAL",Nº de puestos: 1,,,,Experiencia mínima: 1 año,1 año,,1,9
1,2024-04-14 10:34:56,PEÓN,Atxondo,Bizkaia,Se precisa PEÓN para puesto de trabajo en Atxondo (Bizkaia). TAREAS: Verificación y montaje de piezas. REQUISITOS: Experiencia en puestos similares. Se valorará contar con permiso de conducir B1. Persona proactiva. SE OFRECE: Contrato indefinido. Salario según convenio.,12/04/2024,162024004010,LABORAL INDEFINIDO,,"PEONES DE LA INDUSTRIA MANUFACTURERA, EN GENERAL",,,,,,,,1,20
1,2024-04-14 10:34:56,PEÓN CONDUCTOR LIMPIEZA VIARIA,Oñati,Gipuzkoa,Requisitos imprescindibles: Titulación: Certificado de escolarización. Permiso de conducir clase C Tarjeta de cualificación de conductores actualizada. Perfil lingüístico: nivel 1. Las personas que no tengan acreditado el nivel realizarán una prueba de nivel. Condiciones a valorar: Formación básica en la aplicación de fitosanitarios y documento que capacite para su utilización. Experiencia profesional.,12/04/2024,162024004009,LABORAL TEMPORAL,,"CONDUCTORES DE CAMIÓN, EN GENERAL",,,,,Conocimientos FORMACIÓN REGLADA - CERTIFICADOS DE PROFESIONALIDAD Se debe estar en posesión de alguno de los siguientes títulos o certificados: Estudios primarios completos OTROS CONOCIMIENTOS Carnet: TARJETA CUALIFICACIÓN DEL CONDUCTOR (CAP MERCANCÍAS),,,1,15
1,2024-04-14 10:34:56,AYUDANTE DE COCINA,Ibarra,Gipuzkoa,"Se ofrece puesto de ayudante de cocina para bar en Ibarra, Contrato indefinido a jornada completa. REQUISITOS: -Experiencia mínima de 6 meses en puesto similar.",12/04/2024,162024004008,LABORAL INDEFINIDO,,"COCINEROS, EN GENERAL",,,,,"EXPERIENCIA Ocupación: COCINEROS, EN GENERAL (6 Meses )",,,1,3
1,2024-04-14 10:34:56,TÉCNICO/A DE OBRAS Y SERVICIOS,Bergara,Gipuzkoa,"Técnico/a de obras y servicios.  Requisitos imprescindibles:  Estudios: Arquitecto Técnico o Ingeniería en Construcción.  Euskera: PL4 y si no hubiera nadie PL3. Se realizará la prueba a los aspirantes que carezcan de titulación.  Un año de experiencia como arquitecto técnico o ingeniero de la construcción.  Aprobar el examen teórico (10 puntos). El temario se publicará en la página web del Ayuntamiento de Bergara.  Aprobar el test psicotécnico (10 puntos).  Condiciones a valorar:  Experiencia: se valorará 0,009 puntos por día y hasta un máximo de 5 puntos.  Estar en posesión del carnet B de conducir se valorará con 3 puntos.  El tipo de contrato será de sustitución, de lunes a viernes jornada completa de 6 a 12 meses. Salario bruto anual: 42.667,17 euros.",12/04/2024,162024004007,LABORAL TEMPORAL,,ARQUITECTOS TÉCNICOS,,,,,NIVELES FORMATIVOS REQUERIDOS Desde Enseñanzas universitarias de primer ciclo y equivalentes o personas que han aprobado 3 cursos completos de una licenciatura o créditos equivalentes (diplomaturas) Hasta ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER,,,1,0
1,2024-04-14 10:34:56,OPERARIO/A DE CARGA,Eskoriatza,Gipuzkoa,"Colocar piezas en bastidores, según las instrucciones dadas por el jefe/a de línea. Colocar bastidores en el porta cargas. Ayudar en la realización de las labores propias del puesto de control.Tipo de contrato: temporal. Requisitos imprescindibles: Experiencia previa ocupando puestos similares. Requisitos a valorar: Capacidad de resolución de problemas y proactiviadad. Salario mensual: Convenio metal Gipuzkoa.",12/04/2024,162024004006,LABORAL TEMPORAL,,"PEONES DE LA INDUSTRIA MANUFACTURERA, EN GENERAL",,,,,,,,1,18
1,2024-04-14 10:34:56,FUNERARIA/O,Vitoria-Gasteiz,Araba/Álava,"Funerario/a para trabajar de lunes a domingo, con descansos de día y medio. El horario es de 08:00 a 12:00 horas y de 14:30 a 18:30 horas. Se realizan guardias.",12/04/2024,162024004003,LABORAL TEMPORAL,,EMPLEADOS DE SERVICIOS FUNERARIOS EN GENERAL,,,,"B-AUTOMOVIL <= 3.500 KG, ASIENTOS <=9, CON REMOLQUE <= 750 KG, Y TRICICLOS Y CUATRICICLOS DE MOTOR",,,,1,11
1,2024-04-14 10:34:56,AYUDANTE CAMARERO/A,Vitoria-Gasteiz,Araba/Álava,"Contrato de 20 horas, jueves, viernes y sábado por la tarde y domingo por la mañana. Horario de tarde 19:00/23:00 y de mañana 12:00/16:00 aprox. 1 domingo libre al mes. Salario según convenio. Contrato indefinido. Incorporación 25/04/202. IMPRESCINDIBLE: Experiencia en barra. Manejo de la TPV y datáfono.Nivel alto de castellano. VALORABLE: Conocimientos de cocina.",12/04/2024,162024004002,LABORAL INDEFINIDO,,"CAMAREROS, EN GENERAL",,,,,Experiencia mínima: 6 meses,6 meses,,1,4
1,2024-04-14 10:34:56,AUXILIAR ADMINISTRATIVO,Itsasondo,Gipuzkoa,"El trabajo a realizar consistiría en identificar, documentar e incluir todos los derechos y bienes actuales del Ayuntamiento de Itsasondo en el módulo de Inbentario de la aplicación SARE dentro de la clasificación legal. REQUSITOS IMPRESCINDIBLES: -Nivel de cualificación: Formación profesional básica, Certificados de Profesionalidad, Graduado Eso  Ser mayor de 16 y menor de 30 años  Estar empadronado en el Goierri  Conocimientos de informática.  No padecer discapacidad física o psíquica para el correcto desempeño de sus funciones.  Desde el punto de vista de género, se priorizará la contratación de mujeres. -Capacidad de comunicarse en euskera REQUISITOS VALORABLES:  Se valorará tener estudios de carácter administrativo, la experiencia administrativa, Euskera C1 o equivalente, empadronamiento en Itsasondo CONTRATO: jornada completa, 8 meses de duración, salario: 1728,33¿brutos/mes. Fecha de incorporación: 10/05/2024",12/04/2024,162024004001,LABORAL TEMPORAL,,"EMPLEADOS ADMINISTRATIVOS, EN GENERAL",Nº de puestos: 1,Hasta 29 años,DESEMPLEADO-A,,"Conocimientos FORMACIÓN REGLADA - CERTIFICADOS DE PROFESIONALIDAD Se debe estar en posesión de alguno de los siguientes títulos o certificados: Certificado profesionalidad ADGA10 - EMPLEADO DE OFICINA Certificado profesionalidad ADGD0308 - ACTIVIDADES DE GESTIÓN ADMINISTRATIVA Certificado profesionalidad ADGG0208 - ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE Certificado profesionalidad ADGG0508 - OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS Estudios de administración, trabajo de oficina TÍTULO PROFESIONAL BÁSICO en Servicios Administrativos OTROS CONOCIMIENTOS MICROSOFT OFFICE",,,1,5
1,2024-04-14 10:34:56,COCINERA O COCINERO,Bakio,Bizkaia,Cocinera o cocinero con experiencia.,12/04/2024,162024004000,LABORAL TEMPORAL,,"COCINEROS, EN GENERAL",Nº de puestos: 1,,,,,,,1,2
1,2024-04-14 10:34:56,AYUDANTE DEPENDIENTE/A CON DISCAPACIDAD,Vitoria-Gasteiz,Araba/Álava,"Se necesita AYUDANTE DEPENDIENTE/A CON DISCAPACIDAD (de al menos 33%) para realizar tareas de atención al cliente (en TIENDA y ALMACEN) para trabajar a jornada completa (de lunes a viernes). Se valora experiencia previa en puesto similar. Vehículo propio. Manejo de terminales de punto de venta (TPV) e inventario. Habilidades comunicativas y capacidad de trabajo en equipo. INCORPORACION INMEDIATA. Contrato indefinido. Jornada completa. Salario mensual bruto aproximado 1484,40¿ 12 pagas mensuales. IMPRESCINDIBLE: Certificado de discapacidad. Experiencia en puesto similar al menos de 6 meses. Carnet de conducir y vehículo.",12/04/2024,162024003999,LABORAL INDEFINIDO,Discapacitados/as,"DEPENDIENTES DE COMERCIO, EN GENERAL",,,,"B-AUTOMOVIL <= 3.500 KG, ASIENTOS <=9, CON REMOLQUE <= 750 KG, Y TRICICLOS Y CUATRICICLOS DE MOTOR",Experiencia mínima: 6 meses,6 meses,,1,4
1,2024-04-14 10:34:56,LIMPIADOR/A,Vitoria-Gasteiz,Araba/Álava,"Persona con carnet de conducir para realizar trabajos de limpieza en horario de 09:00 a 13:00 y de 15:00 a 19:00 horas de lunes a viernes existiendo la posibilidad de escoger o bien el horario de mañana, de tarde u horario completo. Imprescindible CARNET DE CONDUCIR",12/04/2024,162024003997,LABORAL INDEFINIDO,,PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL,,,,"B-AUTOMOVIL <= 3.500 KG, ASIENTOS <=9, CON REMOLQUE <= 750 KG, Y TRICICLOS Y CUATRICICLOS DE MOTOR",,,,1,16
1,2024-04-14 10:34:56,TECNICO-A EUSKERA,Aulesti,Bizkaia,"Ejecución del proyecto de UEMA en los ayuntamientos de Lea-Artibai: planes de uso, proyecto educativo, proyecto intercultural, formación, traducciones... Requisitos obligatorios: Título Universitario de Filología Vasca, Perfil 4 o C2 de euskera, Permiso de conducir B y coche. Valorable: Experiencia en trabajos similares. Duración del contrato: Hasta el final de la baja del titular, al menos dos meses.",12/04/2024,162024003996,LABORAL TEMPORAL,,FILÓLOGOS,,,,"B-AUTOMOVIL <= 3.500 KG, ASIENTOS <=9, CON REMOLQUE <= 750 KG, Y TRICICLOS Y CUATRICICLOS DE MOTOR",Conocimientos FORMACIÓN REGLADA - CERTIFICADOS DE PROFESIONALIDAD Se debe estar en posesión de alguno de los siguientes títulos o certificados: Filología Vasca,,,1,4
